sample	unit	fq1	fq2
CZD247	161122_D00261_0374_AC9U24ANXX_2_SX-PE-095	CZD247_161122_D00261_0374_AC9U24ANXX_2_SX-PE-095_1.fastq.gz	CZD247_161122_D00261_0374_AC9U24ANXX_2_SX-PE-095_2.fastq.gz
CZD250	161020_D00261_0369_AC9WREANXX_1_SX-PE-088	CZD250_161020_D00261_0369_AC9WREANXX_1_SX-PE-088_1.fastq.gz	CZD250_161020_D00261_0369_AC9WREANXX_1_SX-PE-088_2.fastq.gz
CZD253	161020_D00261_0369_AC9WREANXX_2_SX-PE-014	CZD253_161020_D00261_0369_AC9WREANXX_2_SX-PE-014_1.fastq.gz	CZD253_161020_D00261_0369_AC9WREANXX_2_SX-PE-014_2.fastq.gz
CZD254	161020_D00261_0369_AC9WREANXX_1_SX-PE-017	CZD254_161020_D00261_0369_AC9WREANXX_1_SX-PE-017_1.fastq.gz	CZD254_161020_D00261_0369_AC9WREANXX_1_SX-PE-017_2.fastq.gz
CZD255	161020_D00261_0369_AC9WREANXX_2_SX-PE-040	CZD255_161020_D00261_0369_AC9WREANXX_2_SX-PE-040_1.fastq.gz	CZD255_161020_D00261_0369_AC9WREANXX_2_SX-PE-040_2.fastq.gz
CZD256	161020_D00261_0369_AC9WREANXX_1_SX-PE-067	CZD256_161020_D00261_0369_AC9WREANXX_1_SX-PE-067_1.fastq.gz	CZD256_161020_D00261_0369_AC9WREANXX_1_SX-PE-067_2.fastq.gz
CZD257	161004_D00261_0367_ACA2LEANXX_6_SX-PE-038	CZD257_161004_D00261_0367_ACA2LEANXX_6_SX-PE-038_1.fastq.gz	CZD257_161004_D00261_0367_ACA2LEANXX_6_SX-PE-038_2.fastq.gz
CZD257	161122_D00261_0374_AC9U24ANXX_2_SX-PE-038	CZD257_161122_D00261_0374_AC9U24ANXX_2_SX-PE-038_1.fastq.gz	CZD257_161122_D00261_0374_AC9U24ANXX_2_SX-PE-038_2.fastq.gz
CZD258	161020_D00261_0369_AC9WREANXX_1_SX-PE-059	CZD258_161020_D00261_0369_AC9WREANXX_1_SX-PE-059_1.fastq.gz	CZD258_161020_D00261_0369_AC9WREANXX_1_SX-PE-059_2.fastq.gz
CZD261	161020_D00261_0369_AC9WREANXX_1_SX-PE-077	CZD261_161020_D00261_0369_AC9WREANXX_1_SX-PE-077_1.fastq.gz	CZD261_161020_D00261_0369_AC9WREANXX_1_SX-PE-077_2.fastq.gz
CZD263	161004_D00261_0367_ACA2LEANXX_5_SX-PE-001	CZD263_161004_D00261_0367_ACA2LEANXX_5_SX-PE-001_1.fastq.gz	CZD263_161004_D00261_0367_ACA2LEANXX_5_SX-PE-001_2.fastq.gz
CZD269	161004_D00261_0367_ACA2LEANXX_6_SX-PE-045	CZD269_161004_D00261_0367_ACA2LEANXX_6_SX-PE-045_1.fastq.gz	CZD269_161004_D00261_0367_ACA2LEANXX_6_SX-PE-045_2.fastq.gz
CZD269	161122_D00261_0374_AC9U24ANXX_2_SX-PE-045	CZD269_161122_D00261_0374_AC9U24ANXX_2_SX-PE-045_1.fastq.gz	CZD269_161122_D00261_0374_AC9U24ANXX_2_SX-PE-045_2.fastq.gz
CZD270	161004_D00261_0367_ACA2LEANXX_5_SX-PE-016	CZD270_161004_D00261_0367_ACA2LEANXX_5_SX-PE-016_1.fastq.gz	CZD270_161004_D00261_0367_ACA2LEANXX_5_SX-PE-016_2.fastq.gz
CZD271	161020_D00261_0369_AC9WREANXX_2_SX-PE-030	CZD271_161020_D00261_0369_AC9WREANXX_2_SX-PE-030_1.fastq.gz	CZD271_161020_D00261_0369_AC9WREANXX_2_SX-PE-030_2.fastq.gz
CZD272	161004_D00261_0367_ACA2LEANXX_6_SX-PE-065	CZD272_161004_D00261_0367_ACA2LEANXX_6_SX-PE-065_1.fastq.gz	CZD272_161004_D00261_0367_ACA2LEANXX_6_SX-PE-065_2.fastq.gz
CZD272	161122_D00261_0374_AC9U24ANXX_2_SX-PE-065	CZD272_161122_D00261_0374_AC9U24ANXX_2_SX-PE-065_1.fastq.gz	CZD272_161122_D00261_0374_AC9U24ANXX_2_SX-PE-065_2.fastq.gz
CZD273	161004_D00261_0367_ACA2LEANXX_6_SX-PE-040	CZD273_161004_D00261_0367_ACA2LEANXX_6_SX-PE-040_1.fastq.gz	CZD273_161004_D00261_0367_ACA2LEANXX_6_SX-PE-040_2.fastq.gz
CZD273	161122_D00261_0374_AC9U24ANXX_2_SX-PE-040	CZD273_161122_D00261_0374_AC9U24ANXX_2_SX-PE-040_1.fastq.gz	CZD273_161122_D00261_0374_AC9U24ANXX_2_SX-PE-040_2.fastq.gz
CZD276	161020_D00261_0369_AC9WREANXX_1_SX-PE-056	CZD276_161020_D00261_0369_AC9WREANXX_1_SX-PE-056_1.fastq.gz	CZD276_161020_D00261_0369_AC9WREANXX_1_SX-PE-056_2.fastq.gz
CZD279	161020_D00261_0369_AC9WREANXX_1_SX-PE-069	CZD279_161020_D00261_0369_AC9WREANXX_1_SX-PE-069_1.fastq.gz	CZD279_161020_D00261_0369_AC9WREANXX_1_SX-PE-069_2.fastq.gz
CZD281	161020_D00261_0369_AC9WREANXX_2_SX-PE-019	CZD281_161020_D00261_0369_AC9WREANXX_2_SX-PE-019_1.fastq.gz	CZD281_161020_D00261_0369_AC9WREANXX_2_SX-PE-019_2.fastq.gz
CZD285	161020_D00261_0369_AC9WREANXX_2_SX-PE-045	CZD285_161020_D00261_0369_AC9WREANXX_2_SX-PE-045_1.fastq.gz	CZD285_161020_D00261_0369_AC9WREANXX_2_SX-PE-045_2.fastq.gz
CZD287	161020_D00261_0369_AC9WREANXX_1_SX-PE-034	CZD287_161020_D00261_0369_AC9WREANXX_1_SX-PE-034_1.fastq.gz	CZD287_161020_D00261_0369_AC9WREANXX_1_SX-PE-034_2.fastq.gz
CZD288	161004_D00261_0367_ACA2LEANXX_5_SX-PE-047	CZD288_161004_D00261_0367_ACA2LEANXX_5_SX-PE-047_1.fastq.gz	CZD288_161004_D00261_0367_ACA2LEANXX_5_SX-PE-047_2.fastq.gz
CZD289	161004_D00261_0367_ACA2LEANXX_6_SX-PE-071	CZD289_161004_D00261_0367_ACA2LEANXX_6_SX-PE-071_1.fastq.gz	CZD289_161004_D00261_0367_ACA2LEANXX_6_SX-PE-071_2.fastq.gz
CZD289	161122_D00261_0374_AC9U24ANXX_2_SX-PE-071	CZD289_161122_D00261_0374_AC9U24ANXX_2_SX-PE-071_1.fastq.gz	CZD289_161122_D00261_0374_AC9U24ANXX_2_SX-PE-071_2.fastq.gz
CZD290	161004_D00261_0367_ACA2LEANXX_6_SX-PE-049	CZD290_161004_D00261_0367_ACA2LEANXX_6_SX-PE-049_1.fastq.gz	CZD290_161004_D00261_0367_ACA2LEANXX_6_SX-PE-049_2.fastq.gz
CZD290	161122_D00261_0374_AC9U24ANXX_2_SX-PE-049	CZD290_161122_D00261_0374_AC9U24ANXX_2_SX-PE-049_1.fastq.gz	CZD290_161122_D00261_0374_AC9U24ANXX_2_SX-PE-049_2.fastq.gz
CZD291	161004_D00261_0367_ACA2LEANXX_5_SX-PE-057	CZD291_161004_D00261_0367_ACA2LEANXX_5_SX-PE-057_1.fastq.gz	CZD291_161004_D00261_0367_ACA2LEANXX_5_SX-PE-057_2.fastq.gz
CZD292	161004_D00261_0367_ACA2LEANXX_6_SX-PE-018	CZD292_161004_D00261_0367_ACA2LEANXX_6_SX-PE-018_1.fastq.gz	CZD292_161004_D00261_0367_ACA2LEANXX_6_SX-PE-018_2.fastq.gz
CZD292	161122_D00261_0374_AC9U24ANXX_2_SX-PE-018	CZD292_161122_D00261_0374_AC9U24ANXX_2_SX-PE-018_1.fastq.gz	CZD292_161122_D00261_0374_AC9U24ANXX_2_SX-PE-018_2.fastq.gz
CZD293	161020_D00261_0369_AC9WREANXX_2_SX-PE-039	CZD293_161020_D00261_0369_AC9WREANXX_2_SX-PE-039_1.fastq.gz	CZD293_161020_D00261_0369_AC9WREANXX_2_SX-PE-039_2.fastq.gz
CZD294	161020_D00261_0369_AC9WREANXX_1_SX-PE-087	CZD294_161020_D00261_0369_AC9WREANXX_1_SX-PE-087_1.fastq.gz	CZD294_161020_D00261_0369_AC9WREANXX_1_SX-PE-087_2.fastq.gz
CZD296	161004_D00261_0367_ACA2LEANXX_5_SX-PE-086	CZD296_161004_D00261_0367_ACA2LEANXX_5_SX-PE-086_1.fastq.gz	CZD296_161004_D00261_0367_ACA2LEANXX_5_SX-PE-086_2.fastq.gz
CZD297	161004_D00261_0367_ACA2LEANXX_5_SX-PE-012	CZD297_161004_D00261_0367_ACA2LEANXX_5_SX-PE-012_1.fastq.gz	CZD297_161004_D00261_0367_ACA2LEANXX_5_SX-PE-012_2.fastq.gz
CZD298	161020_D00261_0369_AC9WREANXX_2_SX-PE-052	CZD298_161020_D00261_0369_AC9WREANXX_2_SX-PE-052_1.fastq.gz	CZD298_161020_D00261_0369_AC9WREANXX_2_SX-PE-052_2.fastq.gz
CZD301	161020_D00261_0369_AC9WREANXX_1_SX-PE-053	CZD301_161020_D00261_0369_AC9WREANXX_1_SX-PE-053_1.fastq.gz	CZD301_161020_D00261_0369_AC9WREANXX_1_SX-PE-053_2.fastq.gz
CZD302	161020_D00261_0369_AC9WREANXX_1_SX-PE-018	CZD302_161020_D00261_0369_AC9WREANXX_1_SX-PE-018_1.fastq.gz	CZD302_161020_D00261_0369_AC9WREANXX_1_SX-PE-018_2.fastq.gz
